Generator,Colour
Nuclear,#820000
Coal,#222222
Steam Turbine,#222223
Gas-CC,#52216B
Combined Cycle Gas Turbine,#52216B
Gas-CC CCS,#5E1688
Gas-CT,#C2A1DB
Combustion Turbine,#C2A1DB
Dual Fuel,#000080
DualFuel,#000080
Oil-Gas-Steam,#3D3376
Hydro,#187F94
Ocean,#000080
Geothermal,#A96235
Biopower,#5B9844
Wind,#00B6EF
CSP,#FC761A
PV,#FFC903
PV-Battery,#D1C202
OSW-Battery,#9B014F
dPV,#FFAB02
Battery,#FF4A88
Storage,#FF4A88
Other,#FF7FBB
Net Imports,#193A71
Curtailment,#E1E1E1
Offshore Wind,#106BA7
OffshoreWind,#106BA7
